Ano;País de Destino;Categoria de Carne;Faturamento (US$);Volume (Kg)
2024;Filipinas;Carne Suína;350049836;144387767
2024;Japão;Carne Suína;310111186;92042240
2024;China;Carne Suína;248796892;124229495
2024;Japão;Carne de Aves;177320749;92168710
2024;Arábia Saudita;Carne de Aves;168757747;85574675
2024;Chile;Carne Suína;155406684;67263253
2024;Países Baixos (Holanda);Outras Carnes e Miudezas;155287646;59051662
2024;China;Carne de Aves;117798102;61830409
2024;Emirados Árabes Unidos;Carne de Aves;108220271;44912551
2024;México;Carne Suína;101588154;42500868
2024;Japão;Carne de Aves;96855105;50250600
2024;Coreia do Sul;Carne de Aves;73496221;39497402
2024;México;Carne de Aves;66614556;22826145
2024;Estados Unidos;Carne Suína;58818792;18189006
2024;México;Carne de Aves;56445496;21665651
2024;China;Outras Carnes e Miudezas;56071912;20595833
2024;Hong Kong;Carne Suína;53965805;22478715
2024;Singapura;Carne de Aves;52730603;28055352
2024;Reino Unido;Outras Carnes e Miudezas;50085370;20230260
2024;China;Carne de Aves;49117107;22313829
2024;Coreia do Sul;Carne Suína;48025035;19971090
2024;Arábia Saudita;Carne de Aves;44317302;19335202
2024;Iraque;Carne de Aves;43788952;17687956
2024;Emirados Árabes Unidos;Carne de Aves;39655451;14536902
2024;Porto Rico;Carne Suína;36919917;15349291
2024;Emirados Árabes Unidos;Carne de Aves;32167067;18050777
2024;Chile;Carne de Aves;31630960;15501014
2024;Filipinas;Carne Suína;31240612;15573511
2024;Filipinas;Carne de Aves;31143300;43968249
2024;Arábia Saudita;Carne de Aves;31102463;12443125
2024;Coreia do Sul;Carne de Aves;29030071;15024996
2024;China;Carne de Aves;28156993;11132673
2024;Singapura;Carne Suína;27152725;10481750
2024;Canadá;Carne Suína;25853211;8888942
2024;África do Sul;Carne de Aves;23122655;40153758
2024;China;Carne Suína;18578516;10482669
2024;Iraque;Carne de Aves;17821943;6477979
2024;Espanha;Carne de Aves;16880255;7518100
2024;Chile;Carne de Aves;16798197;6015942
2024;Canadá;Carne de Aves;16397239;7170009
2024;Líbia;Carne de Aves;15089445;6077040
2024;Rússia;Carne de Aves;14975564;6092906
2024;Emirados Árabes Unidos;Carne Suína;13904058;4709007
2024;Catar;Carne de Aves;13879561;8134255
2024;Geórgia;Carne Suína;13337557;5941734
2024;Peru;Carne de Aves;12668943;5372331
2024;México;Carne de Aves;12277594;3371175
2024;Iraque;Carne de Aves;12267505;6926823
2024;Argentina;Carne Suína;12240355;4468833
2024;Hong Kong;Carne de Aves;12229894;8478987
2024;Chile;Carne de Aves;12198374;3965400
2024;Coveite (Kuweit);Carne de Aves;12152455;7210692
2024;Singapura;Carne de Aves;11070785;5761711
2024;Filipinas;Outras Carnes e Miudezas;10761010;9150434
2024;Iêmen;Carne de Aves;10579637;5887991
2024;Uruguai;Carne Suína;10412096;4372645
2024;Vietnã;Carne Suína;10156935;4458221
2024;Congo, República Democrática;Carne Suína;9945040;5522089
2024;Chile;Carne Suína;9465641;3840206
2024;Coveite (Kuweit);Carne de Aves;8993665;4080149
2024;China;Carne de Aves;8988113;7103265
2024;Angola;Carne Suína;8921969;5377602
2024;Canadá;Carne de Aves;8873100;3931362
2024;Catar;Carne de Aves;8825438;4022561
2024;Singapura;Carne de Aves;8515980;3620485
2024;África do Sul;Carne de Aves;8405015;15966864
2024;Líbia;Carne de Aves;8123270;4917105
2024;África do Sul;Carne de Aves;8051269;5286495
2024;Peru;Carne de Aves;7715548;2623125
2024;Países Baixos (Holanda);Carne de Aves;7568924;3446666
2024;Filipinas;Carne de Aves;7126210;16046173
2024;Catar;Carne de Aves;6935993;2420673
2024;Chile;Carne Suína;6817473;3972423
2024;Gana;Carne de Aves;6638952;6168710
2024;Líbano;Carne de Aves;6529525;2278161
2024;Angola;Carne de Aves;6268524;6391725
2024;Jordânia;Carne de Aves;6216155;3397762
2024;Jordânia;Carne de Aves;5939361;2064720
2024;Suíça;Carne de Aves;5936501;2419363
2024;Reino Unido;Carne de Aves;5797044;1711761
2024;Venezuela;Carne Suína;5541874;1681974
2024;Reino Unido;Carne de Aves;5437800;2185221
2024;Rússia;Carne de Aves;5435967;1776054
2024;Gana;Carne de Aves;5099542;4329625
2024;Japão;Carne de Aves;4867726;3463054
2024;Omã;Carne de Aves;4825882;2208618
2024;Espanha;Carne de Aves;4735176;1714325
2024;Emirados Árabes Unidos;Carne de Aves;4642655;1481400
2024;Líbano;Carne de Aves;4614616;1502727
2024;Líbia;Carne de Aves;4229438;1611060
2024;Coveite (Kuweit);Carne de Aves;4066634;1432623
2024;Filipinas;Carne de Aves;4031087;2169732
2024;Singapura;Carne de Aves;3911642;2506602
2024;Congo, República Democrática;Carne de Aves;3882960;5561511
2024;República Dominicana;Carne Suína;3849780;1778776
2024;Países Baixos (Holanda);Carne de Aves;3811848;1059780
2024;Reino Unido;Carne de Aves;3648534;1582296
2024;Hong Kong;Outras Carnes e Miudezas;3451058;2301799
2024;Israel;Carne Bovina;3450090;798820
2024;China;Carne de Aves;3249721;2074151
2024;Filipinas;Outras Carnes e Miudezas;3197155;7196748
2024;Arábia Saudita;Carne de Aves;3190122;892970
2024;Peru;Carne de Aves;3178065;1146465
2024;Costa do Marfim;Outras Carnes e Miudezas;3114648;5465044
2024;Chile;Carne de Aves;3048580;2319321
2024;Singapura;Carne de Aves;3020600;2566544
2024;Barein;Carne de Aves;3000280;1836083
2024;Iraque;Carne de Aves;2993816;1459185
2024;Omã;Carne de Aves;2927183;1803566
2024;Hong Kong;Carne de Aves;2828929;1282318
2024;Geórgia;Carne de Aves;2807070;1462096
2024;Argélia;Carne de Aves;2792728;1712645
2024;Guiné Equatorial;Carne de Aves;2729898;1764080
2024;Curaçao;Carne de Aves;2607037;1371408
2024;Congo;Carne de Aves;2604004;2374288
2024;Jordânia;Carne de Aves;2580116;1238288
2024;Filipinas;Outras Carnes e Miudezas;2572416;7488200
2024;Omã;Carne de Aves;2454642;861603
2024;Aruba;Carne Suína;2291753;746180
2024;Libéria;Outras Carnes e Miudezas;2268260;3371813
2024;México;Carne de Aves;2265353;1228355
2024;Guiné;Carne de Aves;2244843;2131820
2024;Macedônia;Carne de Aves;2205983;884280
2024;Geórgia;Carne de Aves;2081869;936645
2024;Hong Kong;Carne Suína;2059845;2202856
2024;Cuba;Carne de Aves;1985264;1797824
2024;África do Sul;Carne de Aves;1965035;2449731
2024;Bahamas;Carne de Aves;1927917;896470
2024;Filipinas;Carne de Aves;1895020;662841
2024;Gabão;Carne Suína;1874404;1147596
2024;Emirados Árabes Unidos;Carne de Aves;1805648;810704
2024;Costa do Marfim;Carne Suína;1796871;3136146
2024;Filipinas;Carne de Aves;1781797;947112
2024;Gâmbia;Carne de Aves;1727195;1097214
2024;China;Carne de Aves;1708912;1462525
2024;Jordânia;Carne de Aves;1700889;504720
2024;Emirados Árabes Unidos;Outras Carnes e Miudezas;1683736;781528
2024;Mauritânia;Carne de Aves;1667208;1031689
2024;Congo, República Democrática;Carne de Aves;1649832;1629600
